school,sex,age,address,family size,Parent status,Father edu,Mother job,Father job,Mother edu
 Gabriel Pereira ,Female,18,urban ,greater than 3,apart,higher,at_home,teacher,higher
 Gabriel Pereira ,Female,17,urban ,greater than 3, living together,primary,at_home,other,primary 
 Gabriel Pereira ,Female,15,urban ,less or equal to 3, living together,primary,at_home,other,primary 
 Gabriel Pereira ,Female,15,urban ,greater than 3, living together,secondary,health,services,higher
 Gabriel Pereira ,Female,16,urban ,greater than 3, living together,secondary,other,other,secondary 
 Gabriel Pereira ,Male,16,urban ,less or equal to 3, living together,secondary,services,other,higher
 Gabriel Pereira ,Male,16,urban ,less or equal to 3, living together,secondary,other,other,secondary 
 Gabriel Pereira ,Female,17,urban ,greater than 3,apart,higher,other,teacher,higher
 Gabriel Pereira ,Male,15,urban ,less or equal to 3,apart,secondary,services,other,secondary 
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,higher,other,other,secondary 
 Gabriel Pereira ,Female,15,urban ,greater than 3, living together,higher,teacher,health,higher
 Gabriel Pereira ,Female,15,urban ,greater than 3, living together,primary,services,other,secondary 
 Gabriel Pereira ,Male,15,urban ,less or equal to 3, living together,higher,health,services,higher
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,secondary,teacher,other,higher
 Gabriel Pereira ,Male,15,urban ,greater than 3,apart,secondary,other,other,secondary 
 Gabriel Pereira ,Female,16,urban ,greater than 3, living together,higher,health,other,higher
 Gabriel Pereira ,Female,16,urban ,greater than 3, living together,higher,services,services,higher
 Gabriel Pereira ,Female,16,urban ,greater than 3, living together,secondary,other,other,secondary 
 Gabriel Pereira ,Male,17,urban ,greater than 3, living together,secondary,services,services,secondary 
 Gabriel Pereira ,Male,16,urban ,less or equal to 3, living together,secondary,health,other,higher
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,secondary,teacher,other,higher
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,higher,health,health,higher
 Gabriel Pereira ,Male,16,urban ,less or equal to 3, living together,secondary,teacher,other,higher
 Gabriel Pereira ,Male,16,urban ,less or equal to 3, living together,secondary,other,other,secondary 
 Gabriel Pereira ,Female,15, rural,greater than 3, living together,higher,services,health,secondary 
 Gabriel Pereira ,Female,16,urban ,greater than 3, living together,secondary,services,services,secondary 
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,secondary,other,other,secondary 
 Gabriel Pereira ,Male,15,urban ,greater than 3, living together,secondary,health,services,higher
 Gabriel Pereira ,Male,16,urban ,less or equal to 3,apart,higher,services,other,secondary 
